character,foxchild_selection_rank,moe_frequency_rank,hk_frequency_rank,edb_presence,edb_source_glyph,unihan_definition,suggested_category,cangjie,quick,reading_count,decomposition_status,top_level_operator,register_review_status,review_tasks,review_priority_band
盤,774,781,,true,盤,"tray, plate, dish; examine",general,HEBT,HT,4,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
易,775,782,,true,易,change; easy,general,APHH,AH,3,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
客,776,783,,true,客,"guest, traveller; customer",general,JHER,JR,3,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
破,777,784,,true,破,"break, ruin, destroy; rout",general,MRDHE,ME,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
端,778,785,,true,端,"end, extreme; head; beginning",general,YTUMB,YB,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
況,779,786,,true,況,"condition, situation; furthermore",general,ERHU,EU,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
莊,780,787,,true,莊,"village, hamlet; villa; surname",people,TVMG,TG,2,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
雷,781,788,,true,雷,thunder,general,MBW,MW,3,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
籃,782,789,,true,籃,basket,general,HSIT,HT,2,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
某,783,790,,true,某,certain thing or person,people,TMD,TD,3,source-attested-unreviewed,⿱,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
描,784,791,,true,描,"copy, trace, sketch; depict",general,QTW,QW,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
測,785,792,,true,測,"measure, estimate, conjecture",general,EBCN,EN,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
談,786,793,,true,談,talk; conversation; surname,people,YRFF,YF,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
且,787,794,,true,且,"moreover, also (post-subject); about to, will soon (pre-verb)",general,BM,BM,5,source-attested-unreviewed,,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
伴,788,795,,true,伴,"companion, comrade, partner; accompany",general,OFQ,OQ,3,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
狀,789,796,,true,狀,form; appearance; shape; official,general,VMIK,VK,2,source-attested-unreviewed,⿰,unreviewed,hk-selection|learner-definition|category|display-reading|register|curriculum-priority,remaining
