family_id,family_type,character,basis,relationship,source,confidence,review_status
component-27607,component-shared,袁,𧘇,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-27fb7,component-shared,趴,𧾷,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-27fb7,component-shared,趾,𧾷,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-27fb7,component-shared,跌,𧾷,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-27fb7,component-shared,跑,𧾷,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-27fb7,component-shared,跚,𧾷,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-27fb7,component-shared,距,𧾷,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-27fb7,component-shared,跟,𧾷,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-27fb7,component-shared,跡,𧾷,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-27fb7,component-shared,跤,𧾷,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-27fb7,component-shared,跨,𧾷,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-27fb7,component-shared,跪,𧾷,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-27fb7,component-shared,路,𧾷,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-27fb7,component-shared,跳,𧾷,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-27fb7,component-shared,跺,𧾷,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-27fb7,component-shared,踏,𧾷,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-27fb7,component-shared,踐,𧾷,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-27fb7,component-shared,踢,𧾷,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-27fb7,component-shared,踩,𧾷,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
component-27fb7,component-shared,蹄,𧾷,contains-component,chise-ids-ucs-basic@352e13378e411c322cfa16bfd7a6d21d670d7eca,source-derived,unreviewed
